,country,lang,project,id,adm0,adm1,adm2,adm3,adm4,name,address,municipality,lat,lon,lat_int,lon_int,image,commonscat,source,changed,monument_article,registrant_url
893,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003111,bytearray(b'se'),bytearray(b'se-o'),Tidaholm,,,"[[Östra Gerums kyrka]] (Gerum 20:1, ÖSTRA GERUMS KYRKA",,Tidaholm,58.13572,13.74734,1163.0,275.0,Östra Gerums kyrka Sweden 02.JPG,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4stra_G%C3%B6talands_l%C3%A4n&oldid=33104219,2016-06-08 06:52:20,Östra_Gerums_kyrka,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003111
894,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003112,bytearray(b'se'),bytearray(b'se-ac'),Robertsfors,,,[[Bygdeå kyrka]] (Bygdeå Kyrkobord 1:1),,Robertsfors,64.06253,20.86166,1281.0,417.0,Bygdeå kyrka.JPG,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4sterbottens_l%C3%A4n&oldid=33618252,2016-06-08 06:52:15,Bygdeå_kyrka,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003112
895,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003113,bytearray(b'se'),bytearray(b'se-o'),Tjörn,,,[[Klädesholmens kyrka]] (Koholmen 1:158),,Tjörn,57.94709,11.54126,1159.0,231.0,Klädesholmens kyrka.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4stra_G%C3%B6talands_l%C3%A4n&oldid=33104219,2016-06-08 06:52:20,Klädesholmens_kyrka,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003113
896,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003114,bytearray(b'se'),bytearray(b'se-o'),Tjörn,,,[[Klövedals kyrka]] (Klövedals Kyrka 1:1),,Tjörn,58.03734,11.57742,1161.0,232.0,Klövedals kyrka 2.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4stra_G%C3%B6talands_l%C3%A4n&oldid=33104219,2016-06-08 06:52:20,Klövedals_kyrka,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003114
897,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003116,bytearray(b'se'),bytearray(b'se-o'),Tjörn,,,"[[Valla kyrka, Bohuslän|Valla kyrka]] (Valla Kyrka 3:1)",,Tjörn,58.0423,11.71642,1161.0,234.0,Valla kyrka.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4stra_G%C3%B6talands_l%C3%A4n&oldid=33104219,2016-06-08 06:52:20,"Valla_kyrka,_Bohuslän",http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003116
898,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003117,bytearray(b'se'),bytearray(b'se-o'),Tranemo,,,[[Ambjörnarps kyrka]] (Ambjörnarp 1:37),,Tranemo,57.42106,13.29557,1148.0,266.0,Ambjörnarps kyrka old1.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4stra_G%C3%B6talands_l%C3%A4n&oldid=33104219,2016-06-08 06:52:20,Ambjörnarps_kyrka,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003117
899,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003118,bytearray(b'se'),bytearray(b'se-o'),Tranemo,,,[[Dalstorps kyrka]] (Dalstorp 1:126),,Tranemo,57.61146,13.51049,1152.0,270.0,,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4stra_G%C3%B6talands_l%C3%A4n&oldid=33104219,2016-06-08 06:52:20,Dalstorps_kyrka,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003118
900,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003119,bytearray(b'se'),bytearray(b'se-o'),Tranemo,,,[[Hulareds kyrka]] (Hulared 4:1),,Tranemo,57.59102,13.42679,1152.0,269.0,,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4stra_G%C3%B6talands_l%C3%A4n&oldid=33104219,2016-06-08 06:52:20,Hulareds_kyrka,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003119
901,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003120,bytearray(b'se'),bytearray(b'se-o'),Tranemo,,,[[Ljungsarps kyrka]] (Ljungsarp 1:25),,Tranemo,57.56579,13.57858,1151.0,272.0,Ljungsarps kyrka ext1.jpg,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4stra_G%C3%B6talands_l%C3%A4n&oldid=33104219,2016-06-08 06:52:20,Ljungsarps_kyrka,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003120
902,bytearray(b'se-bbr'),bytearray(b'sv'),wikipedia,21300000003121,bytearray(b'se'),bytearray(b'se-o'),Tranemo,,,[[Mossebo kyrka]] (Mossebo 1:23),,Tranemo,57.4462,13.45858,1149.0,269.0,Mossebo kyrka.JPG,,//sv.wikipedia.org/w/index.php?title=Lista_%C3%B6ver_kyrkliga_kulturminnen_i_V%C3%A4stra_G%C3%B6talands_l%C3%A4n&oldid=33104219,2016-06-08 06:52:20,Mossebo_kyrka,http://www.bebyggelseregistret.raa.se/bbr2/anlaggning/visaHistorik.raa?page=historik&visaHistorik=true&anlaggningId=21300000003121
